Qwen2.5-7B-Instruct_opus_Arabic	embed_sim=73.4000	rouge_l=45.0000	judge=45.6000
Llama-3.1-8B-Instruct_opus_German	embed_sim=52.6000	rouge_l=30.8000	judge=53.4000
Llama-3.1-8B-Instruct_opus_Italian	embed_sim=52.4000	rouge_l=31.2000	judge=61.0000
Llama-3.1-8B-Instruct_opus_Japanese	embed_sim=38.6000	rouge_l=14.2000	judge=35.4000
Llama-3.1-8B-Instruct_opus_Portuguese	embed_sim=56.2000	rouge_l=35.8000	judge=64.6000
Llama-3.1-8B-Instruct_opus_Spanish	embed_sim=57.0000	rouge_l=42.2000	judge=70.0000
Llama-3.1-8B-Instruct_mmmlu_AR_XY	embed_sim=41.4000	rouge_l=41.4000	judge=43.6000
Llama-3.1-8B-Instruct_mmmlu_DE_DE	embed_sim=53.0000	rouge_l=53.0000	judge=56.8000
Llama-3.1-8B-Instruct_mmmlu_ES_LA	embed_sim=50.0000	rouge_l=50.0000	judge=53.6000
Llama-3.1-8B-Instruct_mmmlu_FR_FR	embed_sim=53.2000	rouge_l=53.2000	judge=58.0000
Llama-3.1-8B-Instruct_mmmlu_IT_IT	embed_sim=50.6000	rouge_l=50.6000	judge=56.2000
Llama-3.1-8B-Instruct_mmmlu_JA_JP	embed_sim=45.4000	rouge_l=45.4000	judge=48.0000
Llama-3.1-8B-Instruct_mmmlu_PT_BR	embed_sim=53.2000	rouge_l=53.2000	judge=56.6000
Llama-3.1-8B-Instruct_mhotpot_ar	embed_sim=57.0000	rouge_l=2.6000	judge=21.0000
Llama-3.1-8B-Instruct_mhotpot_en	embed_sim=61.6000	rouge_l=52.2000	judge=53.4000
Llama-3.1-8B-Instruct_mhotpot_ru	embed_sim=57.8000	rouge_l=9.4000	judge=36.6000
Llama-3.1-8B-Instruct_mhotpot_zh	embed_sim=55.6000	rouge_l=6.8000	judge=27.4000
Llama-3.1-8B-Instruct_nemotron_stem	embed_sim=55.8000	rouge_l=56.0000	judge=59.0000
Llama-3.1-8B-Instruct_nemotron_math	embed_sim=26.2000	rouge_l=8.8000	judge=4.4000
Llama-3.1-8B-Instruct_nemotron_chat	embed_sim=23.4000	rouge_l=1.0000	judge=88.2000

student_DataEnvGym_nemotron_stem_qwen14bins_opus_Arabic	embed_sim=71.6000	rouge_l=44.6000	judge=48.4000
student_DataEnvGym_nemotron_stem_qwen14bins_opus_French	embed_sim=74.0000	rouge_l=49.8000	judge=70.8000
student_DataEnvGym_nemotron_stem_qwen14bins_opus_German	embed_sim=69.0000	rouge_l=43.4000	judge=56.8000
student_DataEnvGym_nemotron_stem_qwen14bins_opus_Italian	embed_sim=76.0000	rouge_l=46.4000	judge=62.6000
student_DataEnvGym_nemotron_stem_qwen14bins_opus_Japanese	embed_sim=62.8000	rouge_l=23.6000	judge=41.6000
student_DataEnvGym_nemotron_stem_qwen14bins_opus_Portuguese	embed_sim=76.6000	rouge_l=53.4000	judge=67.4000
student_DataEnvGym_nemotron_stem_qwen14bins_opus_Spanish	embed_sim=75.4000	rouge_l=57.0000	judge=69.0000
student_DataEnvGym_nemotron_stem_qwen14bins_mmmlu_AR_XY	embed_sim=66.2000	rouge_l=66.2000	judge=66.6000
student_DataEnvGym_nemotron_stem_qwen14bins_mmmlu_DE_DE	embed_sim=73.6000	rouge_l=73.6000	judge=74.6000
student_DataEnvGym_nemotron_stem_qwen14bins_mmmlu_ES_LA	embed_sim=71.4000	rouge_l=71.4000	judge=72.0000
student_DataEnvGym_nemotron_stem_qwen14bins_mmmlu_FR_FR	embed_sim=72.8000	rouge_l=72.8000	judge=75.4000
student_DataEnvGym_nemotron_stem_qwen14bins_mmmlu_IT_IT	embed_sim=71.2000	rouge_l=71.2000	judge=73.4000
student_DataEnvGym_nemotron_stem_qwen14bins_mmmlu_JA_JP	embed_sim=71.2000	rouge_l=71.2000	judge=73.0000
student_DataEnvGym_nemotron_stem_qwen14bins_mmmlu_PT_BR	embed_sim=72.6000	rouge_l=72.6000	judge=75.4000
student_DataEnvGym_nemotron_stem_qwen14bins_mhotpot_ar	embed_sim=48.4000	rouge_l=3.4000	judge=19.2000
student_DataEnvGym_nemotron_stem_qwen14bins_mhotpot_en	embed_sim=64.0000	rouge_l=55.0000	judge=63.4000
student_DataEnvGym_nemotron_stem_qwen14bins_mhotpot_ru	embed_sim=50.6000	rouge_l=9.8000	judge=37.0000
student_DataEnvGym_nemotron_stem_qwen14bins_mhotpot_zh	embed_sim=48.6000	rouge_l=8.2000	judge=29.6000
student_DataEnvGym_nemotron_stem_qwen14bins_nemotron_stem	embed_sim=66.4000	rouge_l=66.4000	judge=69.6000
student_DataEnvGym_nemotron_stem_qwen14bins_nemotron_math	embed_sim=51.6000	rouge_l=26.4000	judge=15.2000
student_DataEnvGym_nemotron_stem_qwen14bins_nemotron_chat	embed_sim=44.6000	rouge_l=2.0000	judge=86.8000

student_DataEnvGym_nemotron_stem_llama8bins_opus_Arabic	embed_sim=37.8000	rouge_l=20.2000	judge=40.2000
student_DataEnvGym_nemotron_stem_llama8bins_opus_French	embed_sim=49.0000	rouge_l=31.4000	judge=69.6000
student_DataEnvGym_nemotron_stem_llama8bins_opus_German	embed_sim=42.8000	rouge_l=23.6000	judge=53.2000
student_DataEnvGym_nemotron_stem_llama8bins_opus_Italian	embed_sim=45.4000	rouge_l=27.6000	judge=57.4000
student_DataEnvGym_nemotron_stem_llama8bins_opus_Japanese	embed_sim=32.8000	rouge_l=9.2000	judge=33.6000
student_DataEnvGym_nemotron_stem_llama8bins_opus_Portuguese	embed_sim=48.6000	rouge_l=31.2000	judge=64.0000
student_DataEnvGym_nemotron_stem_llama8bins_opus_Spanish	embed_sim=45.6000	rouge_l=31.0000	judge=67.6000
student_DataEnvGym_nemotron_stem_llama8bins_mmmlu_AR_XY	embed_sim=34.2000	rouge_l=34.6000	judge=36.4000
student_DataEnvGym_nemotron_stem_llama8bins_mmmlu_DE_DE	embed_sim=44.6000	rouge_l=44.6000	judge=50.4000
student_DataEnvGym_nemotron_stem_llama8bins_mmmlu_ES_LA	embed_sim=45.2000	rouge_l=45.2000	judge=50.4000
student_DataEnvGym_nemotron_stem_llama8bins_mmmlu_FR_FR	embed_sim=50.6000	rouge_l=50.8000	judge=57.8000
student_DataEnvGym_nemotron_stem_llama8bins_mmmlu_IT_IT	embed_sim=47.0000	rouge_l=47.0000	judge=51.6000
student_DataEnvGym_nemotron_stem_llama8bins_mmmlu_JA_JP	embed_sim=40.4000	rouge_l=40.4000	judge=45.0000
student_DataEnvGym_nemotron_stem_llama8bins_mmmlu_PT_BR	embed_sim=49.8000	rouge_l=50.0000	judge=53.8000
student_DataEnvGym_nemotron_stem_llama8bins_mhotpot_ar	embed_sim=62.6000	rouge_l=2.8000	judge=19.4000
student_DataEnvGym_nemotron_stem_llama8bins_mhotpot_en	embed_sim=66.8000	rouge_l=50.2000	judge=51.2000
student_DataEnvGym_nemotron_stem_llama8bins_mhotpot_ru	embed_sim=65.8000	rouge_l=9.6000	judge=41.0000
student_DataEnvGym_nemotron_stem_llama8bins_mhotpot_zh	embed_sim=58.6000	rouge_l=8.2000	judge=30.0000
student_DataEnvGym_nemotron_stem_llama8bins_nemotron_stem	embed_sim=52.4000	rouge_l=52.4000	judge=57.0000
student_DataEnvGym_nemotron_stem_llama8bins_nemotron_math	embed_sim=31.2000	rouge_l=9.4000	judge=4.0000
student_DataEnvGym_nemotron_stem_llama8bins_nemotron_chat	embed_sim=15.2000	rouge_l=0.8000	judge=88.2000
